# pipeline=simple
# m_sigma_mev=600.000000
# B0_applied=true
# B0_mev4=5.806289137042e+08
# B_used_mev4=0.000000000000e+00
# units=mu/sigma/mass in MeV; densities in MeV^3 and fm^-3; pressure/energy in MeV^4 and GeV fm^-3
# columns=mu_q_mev sigma_mev constituent_mass_mev n_q_mev3 n_q_fm-3 pressure_mev4 pressure_gev_fm-3 energy_density_mev4 energy_density_gev_fm-3
0.000e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.253e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.506e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.759e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
5.013e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
6.266e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
7.519e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.772e+00 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.003e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.128e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.253e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.378e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.504e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.629e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.754e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
1.880e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.005e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.130e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.256e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.381e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.506e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.632e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.757e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.882e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.008e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.133e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.258e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.383e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.509e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.634e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.759e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
3.885e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
4.010e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
4.135e+01 9.300e+01 3.000e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
